verb,polarity,example
abalar,-,O comportamento inusitado do político abalou o povo carioca
abater,-,O comportamento descompromissado do governador abateu os professores
abismar,0,A proeza do canoeiro abismou os turistas
abobalhar,0,A resposta rude do amigo abobalhou o rapaz
abobar,0,A resposta rude do amigo abobou o rapaz
aborrecer,-,A insistência do filho aborreceu a mãe
abrandar,"""+""",O carinho da filha abrandou a intransigente mãe
acabrunhar,-,As atitudes vulgares da mulher acabrunhou o pobre homem.
acalmar,"""+""",O comportamento atual do filho acalmou a mãe
acovardar,-,A pressão do povo acovardou o congresso
acuar,-,As críticas dos eleitores acuaram o deputado
afetar,0,O insulto do Antero afetou a Simone
afligir,-,A fraqueza da filha afligiu a Dona Ana
agastar,-,A observação maldosa da senhora agastou a pobre moça
agitar,"""+""",A cantora Anita agitou a multidão
agoniar,-,Os atentados terroristas agoniaram a população.
alarmar,-,
alegrar,"""+""",O comentário do professor alegrou o estudante
alterar,0,
alucinar,,
alvoroçar,-,
amargurar,-,
amedrontar,-,
amofinar,-,
amolar,-,
amolecer,,
amuar,,
angustiar,,
animar,,
aniquilar,,
apalermar,,
apavorar,,
aperrear,,
apoquentar,,
aporrinhar,,
arrasar,,
assombrar,,
assustar,,
atazanar,,
atemorizar,,
aterrorizar,,
atordoar,,
atormentar,,
aturdir,,
azucrinar,,
baratinar,,
chatear,,
chocar,,
comover,,
confortar,,
confundir,,
consolar,,
constranger,,
contentar,,
contrariar,,
conturbar,,
decepcionar,,
deprimir,,
desalentar,,
desanimar,,
desapontar,,
desassossegar,,
desatinar,,
desconcertar,,
desconsolar,,
descontentar,,
descontrair,,
descontrolar,,
desencantar,,
desencorajar,,
desesperar,,
desestimular,,
desgostar,,
desiludir,,
deslumbrar,,
desnortear,,
desoprimir,,
desorientar,,
distrair,,
embriagar,,
emburrar,,
emocionar,,
empolgar,,
enamorar,,
encabular,,
encantar,,
enciumar,,
encolerizar,,
encorajar,,
enervar,,
enfadar,,
enfarar,,
enfastiar,,
enfeitiçar,,
enfezar,,
enfraquecer,,
enfurecer,,
enlevar,,
enojar,,
enraivecer,,
entediar,,
enternecer,,
entreter,,
entristecer,,
entusiasmar,,
envaidecer,,
envergonhar,,
escandalizar,,
esmorecer,,
espantar,,
estarrecer,,
estimular,,
estontear,,
estressar,,
estruturar,,
exaltar,,
exasperar,,
excitar,,
extasiar,,
fascinar,,
frustar,,
grilar,,
horripilar,,
horrorizar,,
iludir,,
iluminar,,
impacientar,,
importunar,,
impressionar,,
incomodar,,
indignar,,
inebriar,,
inquietar,,
insensibilizar,,
intimidar,,
intranquilizar,,
intrigar,,
irar,,
irritar,,
magoar,,
maravilhar,,
melindrar,,
nausear,,
ofender,,
oprimir,,
ouriçar,,
paralisar,,
pasmar,,
penalizar,,
perturbar,,
preocupar,,
recalcar,,
reconfortar,,
reprimir,,
retrair,,
revitalizar,,
revoltar,,
saturar,,
seduzir,,
sensibilizar,,
serenar,,
sobressaltar,,
sossegar,,
sufocar,,
surpreender,,
suscetibilizar,,
tranquilizar,,
transtornar,,
traumatizar,,
travar,,
vexar,,